city,name,nameEn,nameLocal,theme,durationMin,priceJpy,summary,why,caution,booking,busy,closed,hours,tags,lat,lon,wikidata,popularity
ebisu,에비스 가든플레이스,Yebisu Garden Place,恵比寿ガーデンプレイス,landmark,60,0,옛 맥주 공장 자리의 복합 단지. 38층 무료 전망,에비스 맥주 공장 터에 지은 복합 단지입니다. 타워 38층 무료 전망 라운지에서 도쿄타워와 스카이트리가 보이고 겨울에는 바카라 샹들리에가 섭니다.,,,,,,department;재방문,35.64222,139.71417,Q11259433,4
ebisu,예비스 브루어리 도쿄,Yebisu Brewery Tokyo,YEBISU BREWERY TOKYO,activity,60,,에비스 맥주의 역사와 양조. 갓 빚은 맥주 시음,2024년 새로 연 에비스 맥주의 양조장 겸 기념관입니다. 역사 전시를 보고 탭룸에서 여기서만 빚는 맥주를 마십니다.,,투어는 예약 권장,,월요일 휴관,,bar;craft;재방문,35.64309,139.71454,,3
ebisu,에비스 요코초,Ebisu Yokocho,恵比寿横丁,nightlife,90,3500,세 평짜리 가게 20곳의 골목. 2차의 정석,옛 시장 건물에 세 평 남짓한 가게 20곳이 들어찬 골목입니다. 자리를 옮겨 가며 마시는 도쿄식 2차·3차에 맞고 늦게까지 붐빕니다.,,,금·토 저녁 자리 없음,,,izakaya;bar;street;local;재방문,35.64815,139.71074,,4
ebisu,타이야키 히이라기,Taiyaki Hiiragi,たいやき ひいらぎ,food,15,300,한 마리씩 굽는 붕어빵. 얇은 껍질,틀 하나에 한 마리씩 굽는 붕어빵 가게입니다. 껍질이 얇고 팥이 꼬리까지 차 있어 줄이 섭니다.,,,,,,street;local;재방문,35.64767,139.71164,,3
ebisu,도쿄도 사진미술관,Tokyo Photographic Art Museum,東京都写真美術館,art,60,700,가든플레이스 안의 사진 전문 미술관,일본에서 드문 사진·영상 전문 미술관입니다. 전시가 셋 동시에 열려 하나만 골라 봐도 됩니다.,,,,월요일 휴관,,재방문,35.6417,139.7132,Q862884,3
ebisu,아리스가와노미야 기념공원,Arisugawa-no-miya Memorial Park,有栖川宮記念公園,nature,40,0,히로오의 언덕 공원. 연못과 도서관,히로오 대사관 거리 안의 언덕 공원입니다. 연못과 계류가 있고 안에 도립 중앙도서관이 있어 동네 사람이 산책합니다.,,,,,,재방문,35.65201,139.72562,Q4791114,3
ebisu,히로오 상점가,Hiroo Shopping Street,広尾商店街,shopping,40,0,대사관 동네의 조용한 상점가,대사관이 많은 히로오의 상점가로 빵집·수입 식료품점·카페가 이어집니다. 에비스에서 걸어 15분입니다.,,,,,,street;select;재방문,,,,2
ebisu,아후리 에비스,AFURI Ebisu,AFURI 恵比寿,food,40,1300,유자 시오 라멘의 본점,유자를 넣은 맑은 소금 라멘으로 이름난 아후리의 본점입니다. 늦은 밤에도 열어 술 뒤 마무리로 먹습니다.,,,점심·심야 줄,,,noodle;재방문,,,,4
ebisu,사루타히코 커피 에비스 본점,Sarutahiko Coffee Ebisu,猿田彦珈琲 恵比寿本店,food,30,700,작은 본점. 스페셜티 커피,도쿄 곳곳에 가게를 낸 사루타히코 커피의 작은 본점입니다. 역 바로 앞이라 아침에 들르기 좋습니다.,,,,,,cafe;재방문,35.64764,139.7109,,3
ebisu,바 트렌치,Bar Trench,Bar Trench,nightlife,60,3000,압생트와 클래식 칵테일의 작은 바,세계 바 순위에 오르는 에비스의 작은 바입니다. 압생트와 허브 계열 칵테일이 특기이고 자리가 적어 이른 시간이 좋습니다.,,,금·토 밤,,,bar;fine;재방문,35.64842,139.70792,,3
koenji,고엔지 순정상점가,Koenji Junjo Shopping Street,高円寺純情商店街,shopping,40,0,북쪽 출구의 소설 제목이 된 상점가,소설 제목에서 이름을 딴 북쪽 출구의 상점가입니다. 생선 가게와 반찬집 사이에 카레집과 헌책방이 섞여 있습니다.,,,,,,street;local;재방문,35.70679,139.6498,,3
koenji,고엔지 파루 상점가,Koenji Pal Shopping Street,高円寺パル商店街,shopping,40,0,남쪽 출구 아케이드. 빈티지 가게가 시작된다,남쪽 출구의 지붕 있는 아케이드로 빈티지 옷가게와 잡화점이 시작되는 곳입니다. 끝까지 가면 룩 상점가로 이어집니다.,,,,,,street;select;재방문,35.70459,139.64906,,3
koenji,고엔지 룩 상점가,Koenji Look Shopping Street,高円寺ルック商店街,shopping,60,0,빈티지 옷가게가 이어지는 거리,파루 상점가 끝에서 이어지는 거리로 빈티지 옷가게가 가장 많이 모여 있습니다. 가게마다 연대와 취향이 달라 오후가 다 갑니다.,,,,,,select;craft;재방문,35.69982,139.64743,,3
koenji,위슬러,Whistler,WHISTLER 高円寺,shopping,30,,가죽 구두와 빈티지의 노포,고엔지 빈티지 가게 중 오래된 곳으로 가죽 구두와 미국 옷이 많습니다.,,,,,,select;재방문,,,,2
koenji,기쇼 신사,Kisho Shrine,高円寺氷川神社 気象神社,history,15,0,일본 유일의 날씨 신사. 나막신 에마,히카와 신사 안에 있는 일본 유일의 날씨 신사입니다. 나막신 모양 에마에 여행 날 맑기를 빕니다.,,,,,,재방문,35.70453,139.65101,,3
koenji,다이쇼 본점,Taisho,大将 本店,nightlife,75,2500,역 앞의 야키토리. 밖에 앉아 마신다,역 앞 길가에 자리를 내놓은 야키토리 집으로 저녁마다 붐빕니다. 값이 싸고 늦게까지 열어 고엔지 밤의 시작입니다.,,,저녁 내내,,,izakaya;street;local;재방문,35.70507,139.64854,,4
koenji,스리,three,three 高円寺,food,30,800,잎차 50종의 찻집. 스콘,북쪽 상점가 안의 찻집으로 잎차 50종을 고릅니다. 스콘이 있어 오후 휴식에 맞습니다.,,,,,,cafe;재방문,,,,2
koenji,가니 북스,Kani Books,蟹ブックス,shopping,20,0,민트색 벽의 작은 독립 서점,오래 서점을 한 사람이 고른 책을 두는 작은 독립 서점입니다. 고엔지의 잡지·만화·에세이가 많습니다.,,,,,,select;재방문,,,,2
koenji,자 고엔지,Za-Koenji Public Theatre,座・高円寺,activity,120,,구립 공공극장. 텐트 모양 건물,이토 도요가 설계한 텐트 모양의 구립 극장입니다. 연극과 아와오도리 공연이 있고 안에 카페가 있습니다.,,공연은 예매,,,,재방문,35.70592,139.65401,Q11521690,2
koenji,지로키치,Jirokichi,高円寺 JIROKICHI,nightlife,120,3000,1974년부터의 재즈·블루스 라이브하우스,1974년부터 이어 온 고엔지의 재즈·블루스 라이브하우스입니다. 매일 공연이 있고 자리가 작아 무대가 가깝습니다.,,공연 일정 확인,,,,bar;재방문,35.7057,139.65138,,3
kuramae,카키모리,Kakimori,カキモリ,shopping,40,,표지와 속지를 골라 만드는 노트. 잉크 조합,표지·속지·고리를 골라 나만의 노트를 묶어 주는 문구점입니다. 잉크를 섞어 만드는 코너가 있어 예약이 찹니다.,,잉크 만들기는 예약,,월요일,,craft;재방문,35.70319,139.78568,Q109318575,4
kuramae,댄들라이언 초콜릿 구라마에,Dandelion Chocolate Kuramae,ダンデライオン・チョコレート ファクトリー＆カフェ蔵前,food,40,1200,초콜릿 공장이 보이는 카페,샌프란시스코 빈투바 초콜릿의 일본 첫 가게입니다. 1층 공장에서 초콜릿 만드는 것을 보고 2층에서 핫초콜릿을 마십니다.,,,,,,cafe;재방문,35.70354,139.78955,,3
kuramae,나카무라 티 라이프 스토어,Nakamura Tea Life Store,NAKAMURA TEA LIFE STORE,shopping,20,,시즈오카 농가의 일본차 가게,시즈오카 차 농가가 직접 하는 작은 가게입니다. 시음하고 고르며 캔 디자인이 좋아 선물로 삽니다.,,,,,,craft;select;재방문,,,,2
kuramae,콘센트 고마가타 본점,Koncent Komagata,KONCENT 駒形本店,shopping,30,,디자인 잡화와 커피 스탠드,일본 디자이너 제품을 모은 잡화점으로 안에 커피 스탠드가 있습니다. 구라마에 산책의 시작점으로 좋습니다.,,,,,,select;재방문,,,,3
kuramae,구라마에 카눌레,Kuramae Cannele,KURAMAE CANNELE,food,15,400,갓 구운 카눌레 전문점,카눌레만 굽는 작은 가게입니다. 맛이 여러 가지라 두어 개 사서 강가에서 먹습니다.,,,,,,cafe;street;재방문,,,,2
kuramae,가시야 시노노메,Kashiya Shinonome,菓子屋シノノメ,food,20,600,구움과자 가게. 옆에 찻집,구움과자를 파는 가게로 옆에 같은 주인의 찻집이 있습니다. 오전에 종류가 많습니다.,,,,,,cafe;재방문,35.70564,139.79043,,2
kuramae,마쿠레인 다이너,McLean Old Burger Stand,マクレーン オールドファッション ダイナー,food,45,1500,옛 미국식 다이너의 수제 버거,옛 미국 다이너를 본뜬 가게의 두꺼운 수제 버거입니다. 구라마에 점심으로 자리가 찹니다.,,,주말 점심,,,comfort;재방문,35.70495,139.79417,,2
kuramae,렌,REN,REN 蔵前,shopping,20,,구라마에의 가죽 가방 브랜드,구라마에에서 시작한 가죽 브랜드의 본점입니다. 가볍고 단순한 가방과 지갑이 많습니다.,,,,,,craft;재방문,,,,2
kuramae,구라마에 다리,Kuramae Bridge,蔵前橋,landmark,15,0,노란 다리에서 보는 스카이트리와 강,스미다가와의 노란 아치 다리입니다. 강변 테라스로 내려가면 스카이트리가 정면에 보이고 아사쿠사까지 걸어갑니다.,,,,,,재방문,35.70083,139.79333,Q11621888,2
kuramae,도리고에 신사,Torigoe Shrine,鳥越神社,history,15,0,6월 밤 축제의 큰 가마로 유명한 신사,1300년 넘은 동네 신사로 6월 도리고에 마쓰리의 큰 가마가 유명합니다. 축제가 아니면 조용합니다.,,,,,,재방문,35.70194,139.78556,Q11675149,2
kiyosumi,도쿄도 현대미술관,Museum of Contemporary Art Tokyo,東京都現代美術館,art,90,,기바 공원 안의 큰 현대미술관,기바 공원 안의 큰 현대미술관으로 소장품 전시와 기획전이 함께 열립니다. 서점과 카페가 좋아 반나절이 갑니다.,,,,월요일 휴관,,재방문,35.68,139.80806,Q1649688,4
kiyosumi,블루보틀 커피 기요스미시라카와,Blue Bottle Coffee Kiyosumi-Shirakawa,ブルーボトルコーヒー 清澄白河フラッグシップカフェ,food,30,700,일본 1호점. 커피 동네의 시작,블루보틀의 일본 1호점으로 이 동네가 커피 거리가 된 계기입니다. 창고를 고친 넓은 가게에서 로스팅을 봅니다.,,,,,,cafe;재방문,35.67777,139.80058,,4
kiyosumi,올프레스 에스프레소 도쿄 로스터리,Allpress Espresso Tokyo Roastery,オールプレス・エスプレッソ 東京ロースタリー&カフェ,food,30,700,목재 창고를 고친 뉴질랜드 로스터리,목재 창고를 고친 높은 천장의 로스터리 카페입니다. 플랫화이트가 대표이고 자리가 넉넉합니다.,,,,,,cafe;재방문,35.67776,139.80514,,3
kiyosumi,아라이즈 커피 로스터스,Arise Coffee Roasters,ARiSE COFFEE ROASTERS,food,20,600,주인이 볶는 작은 로스터리,주인이 직접 볶고 내리는 작은 가게입니다. 원두를 골라 한 잔씩 내려 주고 동네 사람이 서서 마십니다.,,,,,,cafe;local;재방문,35.67836,139.80098,,2
kiyosumi,후카다소 카페,Fukadaso Cafe,fukadaso cafe,food,40,800,50년 된 창고 아파트의 카페와 실험기구 가게,50년 된 창고 아파트를 고쳐 카페와 작은 가게를 넣었습니다. 실험용 유리를 파는 리카시쓰가 안에 있습니다.,,,,,,cafe;local;재방문,,,,3
kiyosumi,기바 공원,Kiba Park,木場公園,nature,40,0,옛 목재 저장소 자리의 큰 공원,에도 시대 목재 저장소 자리의 넓은 공원입니다. 현대미술관이 안에 있고 큰 다리에서 스카이트리가 보입니다.,,,,,,재방문,35.67625,139.80842,Q6403923,3
kiyosumi,후카가와 후도도,Fukagawa Fudodo,深川不動堂,history,30,0,매일 다섯 번 불을 피우는 호마 의식,나리타산의 도쿄 별원으로 하루 다섯 번 큰북과 함께 불을 피우는 호마 의식을 봅니다. 본당 벽이 범자 1만 자로 덮여 있습니다.,,,,,,재방문,35.67292,139.79833,Q11495650,3
kiyosumi,후카가와주쿠,Fukagawajuku,深川宿 本店,food,45,2000,조개밥 후카가와메시의 대표 가게,바지락을 된장에 끓여 밥에 부은 후카가와메시를 내는 가게입니다. 에도 자료관 앞에 있어 함께 갑니다.,,,,,,local;seafood;재방문,35.68074,139.80056,,3
kiyosumi,다쓰미 신도,Tatsumi Shindo,辰巳新道,nightlife,75,3000,몬젠나카초의 좁은 술집 골목,몬젠나카초 역 옆의 좁은 골목에 카운터 술집이 스무 곳 넘게 붙어 있습니다. 후카가와 산책을 끝내고 한 잔 하는 곳입니다.,,,,,,izakaya;bar;local;재방문,35.67306,139.79592,Q11637868,3
kagurazaka,젠코쿠지 비샤몬텐,Zenkoku-ji,善國寺,history,15,0,가구라자카의 상징인 붉은 절,언덕 한가운데 붉은 문의 절로 호랑이 상이 지킵니다. 가구라자카 산책의 기준점입니다.,,,,,,재방문,35.7015,139.73954,Q11418909,3
kagurazaka,도쿄 다이진구,Tokyo Daijingu,東京大神宮,history,20,0,인연을 비는 신사. 이세 신궁의 도쿄 요배전,이세 신궁을 도쿄에서 참배하도록 세운 신사로 인연을 비는 사람이 줄을 섭니다. 이이다바시 역에서 5분입니다.,,,,,,재방문,35.69998,139.74687,Q11524717,4
kagurazaka,효고 요코초,Hyogo Yokocho,兵庫横丁,landmark,15,0,검은 담과 돌길의 골목. 료테이가 남았다,검은 널담과 돌길이 남은 짧은 골목으로 옛 요정이 아직 영업합니다. 저녁에 등이 켜지면 가장 좋습니다.,,,,,,street;재방문,35.70245,139.73984,,3
kagurazaka,가쿠렌보 요코초,Kakurenbo Yokocho,かくれんぼ横丁,landmark,15,0,게이샤 거리의 흔적이 남은 뒷골목,미로 같은 뒷골목으로 화류가였던 때의 분위기가 남았습니다. 효고 요코초와 이어 걷습니다.,,,,,,street;재방문,35.70195,139.74087,,2
kagurazaka,르 브르타뉴,Le Bretagne Kagurazaka,ル ブルターニュ 神楽坂店,food,60,2000,브르타뉴식 갈레트와 시드르,메밀 갈레트와 사과주 시드르를 내는 브르타뉴 요리집입니다. 가구라자카가 프랑스 동네로 불리는 이유의 하나입니다.,,,주말 점심,,,comfort;재방문,35.70189,139.73971,,3
kagurazaka,바이카테이,Baikatei,梅花亭,shopping,10,,1935년 화과자. 복 고양이 모나카,1935년부터의 화과자 가게로 복 고양이 모양 모나카가 대표입니다. 산책 선물로 가볍습니다.,,,,,,street;craft;재방문,35.70304,139.737,,2
kagurazaka,판 데 피로조프,Pain des Philosophes,パン・デ・フィロゾフ,food,15,500,발효 빵 전문 빵집,밀 맛을 살린 발효 빵 전문 빵집입니다. 아침에 사서 카날 카페나 공원에서 먹습니다.,,,,,,cafe;street;재방문,35.70516,139.73792,,2
kagurazaka,아카기 신사,Akagi Shrine,赤城神社,history,15,0,구마 겐고가 새로 지은 유리 신사,건축가 구마 겐고가 다시 지은 신사로 유리와 나무의 본전이 낯섭니다. 안에 카페가 있습니다.,,,,,,재방문,35.70497,139.73633,Q11635471,3
kagurazaka,아코메야 도쿄 in la kagu,Akomeya Tokyo in la kagu,AKOMEYA TOKYO in la kagu,shopping,40,,옛 창고를 고친 쌀·식품·잡화 가게,"출판사 창고를 구마 겐고가 고친 건물의 식료품·잡화점입니다. 쌀과 반찬, 그릇이 있어 선물을 삽니다.",,,,,,select;variety;재방문,35.70365,139.73321,,3
kagurazaka,가구라자카 도리,Kagurazaka-dori,神楽坂通り,shopping,60,0,이이다바시에서 오르는 돌길 상점가,이이다바시에서 오르는 언덕 상점가로 화과자·프랑스 식당·잡화점이 섞여 있습니다. 오전과 오후에 일방통행 방향이 바뀝니다.,,,,,,street;select;재방문,35.70102,139.74118,,4
jiyugaoka,몽 상 클레르,Mont St. Clair,モンサンクレール,food,30,1200,쓰지구치 히로노부의 파티스리,유명 파티시에 쓰지구치 히로노부의 본점입니다. 케이크를 고르는 줄이 길고 안에서 먹을 자리가 적습니다.,,,주말 오후 줄,,,cafe;fine;재방문,35.61261,139.66656,,4
jiyugaoka,파리 세베이유,Paris S'eveille,パティスリー・パリセヴェイユ,food,30,1000,프랑스식 케이크. 몽블랑,프랑스 정통을 따르는 파티스리로 몽블랑이 대표입니다. 몽 상 클레르와 함께 지유가오카 케이크의 양대 가게입니다.,,,,,,cafe;fine;재방문,,,,3
jiyugaoka,마지 뒤 쇼콜라,Magie du Chocolat,MAGIE DU CHOCOLAT,shopping,20,,카카오 콩부터 만드는 초콜릿,카카오 콩을 들여와 직접 만드는 빈투바 초콜릿 가게입니다. 선물 상자가 좋습니다.,,,,,,craft;cafe;재방문,,,,2
jiyugaoka,지유가오카 롤야,Jiyugaoka Rollya,自由が丘ロール屋,food,15,500,롤케이크 전문점. 한 조각씩,롤케이크만 파는 가게로 한 조각씩 삽니다. 걷다가 벤치에서 먹기 좋습니다.,,,,,,cafe;street;재방문,,,,3
jiyugaoka,코나 토 타마고,Kona to Tamago,粉と卵,food,20,600,구움과자와 고구마 캐러멜,밀가루와 달걀이라는 이름의 구움과자 가게로 고구마를 캐러멜에 굽는 과자가 대표입니다.,,,,,,cafe;재방문,35.60387,139.67018,,2
jiyugaoka,라 비타 지유가오카,La Vita Jiyugaoka,ラ・ヴィータ 自由が丘,landmark,20,0,베네치아를 흉내 낸 작은 상가,운하와 곤돌라까지 베네치아를 본뜬 작은 상가입니다. 사진 자리로 들르고 잡화점을 봅니다.,,,,,,select;재방문,35.61076,139.6682,,2
jiyugaoka,구혼부쓰 조신지,Kuhonbutsu Joshin-ji,九品仏浄真寺,history,40,0,아미타상 아홉 구의 절. 은행나무와 단풍,세 채의 당에 아미타상 아홉 구를 모신 절입니다. 큰 은행나무와 가을 단풍이 좋고 녹도 끝에서 5분입니다.,,,,,,재방문,35.60817,139.66088,Q11370077,3
jiyugaoka,투데이즈 스페셜 지유가오카,Today's Special Jiyugaoka,TODAY'S SPECIAL Jiyugaoka,shopping,30,,생활 잡화와 그릇의 큰 가게,"부엌 도구와 그릇, 식료품을 모은 생활 잡화점입니다. 지유가오카 잡화 산책의 시작으로 맞습니다.",,,,,,select;variety;재방문,,,,3
sangenjaya,산카쿠치타이(에코 나카미세),Sankaku Chitai,エコー仲見世商店街,nightlife,90,3000,세 평 술집이 빼곡한 삼각 골목,두 큰길 사이 삼각형 땅에 세 평짜리 술집이 빼곡합니다. 한 집에 오래 있지 않고 옮겨 가며 마십니다.,,,금·토 저녁,,,izakaya;bar;street;local;재방문,,,,4
sangenjaya,야키톤 토시,Yakiton Toshi,焼豚 とし,nightlife,60,2500,삼각지대의 돼지 내장 꼬치,삼각지대 안의 돼지 꼬치집으로 숯불에 굽습니다. 자리가 적어 서서 먹기도 합니다.,,,,,,izakaya;local;재방문,,,,2
sangenjaya,라무 진기스칸 요요,Lamb Jingisukan Yoyo,ラムジンギスカン羊々,nightlife,60,3000,양고기 징기스칸 한 가지,생 양고기를 숯불에 굽는 징기스칸 집입니다. 삼각지대에서 배를 채우는 첫 집으로 맞습니다.,,,,,,izakaya;재방문,,,,2
sangenjaya,아오키 상점,Aoki Shoten,青木商店,nightlife,45,2000,위스키와 카레 안주의 작은 바,위스키를 골라 두고 카레 안주를 내는 작은 바입니다. 삼각지대 2차·3차 자리입니다.,,,,,,bar;재방문,,,,2
sangenjaya,고조롯푸,Gozoroppu,五臓六腑,nightlife,75,3500,사가미만 생선의 이자카야,사가미만에서 직송한 생선회와 안주를 내는 이자카야입니다. 산겐자야에 지점이 여럿이라 자리 찾기가 쉽습니다.,,,,,,izakaya;seafood;재방문,35.64594,139.66981,,3
sangenjaya,쇼인 신사,Shoin Shrine,松陰神社,history,20,0,요시다 쇼인의 신사. 노면전차로 간다,유신 사상가 요시다 쇼인을 모신 신사입니다. 세타가야선 노면전차를 타고 가서 앞 상점가를 걷습니다.,,,,,,재방문,35.64705,139.65617,Q132473111,3
sangenjaya,카페 마메히코,Cafe Mamehiko,カフェ マメヒコ 三軒茶屋,food,40,1000,팥과 커피의 옛날식 찻집,직접 끓인 팥과 커피를 내는 찻집으로 오래 앉아 있게 됩니다. 산겐자야 낮의 자리입니다.,,,,,,cafe;local;재방문,,,,2
sangenjaya,세타가야 퍼블릭 시어터,Setagaya Public Theatre,世田谷パブリックシアター,activity,120,,캐럿타워 안의 공공극장,캐럿타워 안의 극장으로 연극과 무용 공연이 있습니다. 노가쿠도 같은 무대 구조가 특징입니다.,,공연은 예매,,,,재방문,35.64369,139.66961,Q11362056,2
tsukishima,쓰키시마 몬자 스트리트,Tsukishima Monja Street,月島西仲通り商店街,food,30,0,몬자 가게 70곳이 이어지는 상점가,역에서 이어지는 500m 상점가에 몬자야키 가게가 70곳 넘게 있습니다. 골목 안쪽 가게가 조용합니다.,,,,,,street;local;재방문,35.66357,139.78146,,4
tsukishima,몬자 곤도 본점,Monja Kondo,もんじゃ近どう 本店,food,60,1800,1950년부터의 몬자 노포,1950년부터 이어 온 몬자 노포입니다. 명란·치즈·떡 몬자가 정석이고 점원이 굽는 법을 알려 줍니다.,,,주말 저녁 줄,,,local;재방문,35.6626,139.78119,,3
tsukishima,몬자 다루마 쓰키시마 본점,Monja Daruma,月島名物もんじゃ だるま 月島本店,food,60,2000,옛 건물을 고친 몬자집,오래된 건물을 고친 가게로 분위기가 좋습니다. 해산물 몬자가 많습니다.,,,,,,local;seafood;재방문,35.66356,139.7816,,3
tsukishima,몬자 구라,Monja Kura,もんじゃ 蔵,food,60,2000,게·새우·가리비의 해산물 몬자,"게와 새우, 가리비를 듬뿍 넣는 해산물 몬자로 줄이 섭니다.",,,저녁 줄,,,seafood;local;재방문,,,,3
tsukishima,스미요시 신사,Sumiyoshi Shrine Tsukuda,住吉神社,history,15,0,어부 마을 쓰쿠다의 신사. 3년마다 큰 축제,오사카에서 온 어부들이 세운 쓰쿠다지마의 신사입니다. 3년마다 8월에 큰 가마 축제가 열립니다.,,,,,,재방문,35.78961,139.26136,Q111280245,2
tsukishima,쓰쿠다 공원,Tsukuda Park,佃公園,nature,30,0,옛 어촌 골목과 강변 산책로,"고층 아파트 아래 옛 어촌 골목과 붉은 다리, 등대 모양 건물이 남았습니다. 강변 산책로에서 도심이 보입니다.",,,,,,재방문,35.66852,139.78266,Q28840599,2
tsukishima,덴야스 본점,Tenyasu,天安本店,shopping,15,,1837년부터의 쓰쿠다니 가게,쓰쿠다니가 태어난 쓰쿠다지마의 1837년 노포입니다. 작은 종이 상자에 담아 주어 선물로 좋습니다.,,,,,,craft;local;재방문,35.6676,139.78226,,2
tsukishima,가치도키 다리,Kachidoki Bridge,勝鬨橋,landmark,15,0,옛 도개교. 쓰키지로 걸어 건넌다,1940년의 도개교로 지금은 열리지 않습니다. 쓰키지 시장에서 쓰키시마로 걸어 건너는 길입니다.,,,,,,재방문,35.66194,139.775,Q4844361,3
ryogoku,에코인,Eko-in,回向院,history,30,0,스모가 시작된 절. 의적 네즈미코조의 묘,에도 스모 대회가 열리던 절로 스모 발상지 비석이 있습니다. 의적 네즈미코조의 묘를 긁어 가면 운이 온다고 합니다.,,,,,,재방문,35.69344,139.79203,Q3049659,3
ryogoku,창코 기리시마,Chanko Kirishima,ちゃんこ霧島,food,75,3500,전 오제키 기리시마의 소금 창코,전 오제키 기리시마가 하는 창코나베 집입니다. 소금 국물이 대표이고 국기관 옆이라 대회 뒤 자리가 찹니다.,,대회 기간 예약,,,,comfort;local;재방문,35.69565,139.79157,,3
ryogoku,요시바,Yoshiba,割烹吉葉,food,90,6000,옛 스모 부야의 씨름판 앞에서 먹는 창코,옛 스모 부야 건물을 그대로 써서 가운데 씨름판이 남았습니다. 저녁에는 씨름판 위에서 노래·연주 공연이 있습니다.,,예약 권장,,,,fine;local;재방문,35.70183,139.79565,,3
ryogoku,노미노스쿠네 신사,Nomi no Sukune Shrine,野見宿禰神社,history,10,0,스모의 신. 역대 요코즈나 비석,스모의 조상신을 모신 작은 신사로 역대 요코즈나의 이름을 새긴 비석이 있습니다. 대회 전 협회가 참배합니다.,,,,,,재방문,35.69696,139.80126,Q106852594,2
ryogoku,료고쿠 다카하시,Ryogoku Takahashi,両国 髙はし,shopping,15,,스모 방석과 기념품 가게,"스모 방석과 부채, 리키시 이름 수건을 파는 오래된 가게입니다. 국기관 앞입니다.",,,,,,craft;local;재방문,35.6947,139.79681,,2
